2017-01-31 20:24:20 INFO  Client:44 - Thread no:0 returned response in: 1006 miliseconds
2017-01-31 20:24:41 INFO  ConcurrentProccessHandler:54 - Start of executorService.invokeThreads()
2017-01-31 20:24:41 INFO  ConcurrentProccessHandler:57 - Creating tasks in parallel
2017-01-31 20:24:41 INFO  ConcurrentProccessHandler:60 - Paralel execution started.
2017-01-31 20:24:43 INFO  Client:44 - Thread no:6 returned response in:867 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:0 returned response in:867 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:2 returned response in:871 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:3 returned response in:874 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:9 returned response in:875 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:8 returned response in:876 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:1 returned response in:874 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:5 returned response in:881 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:4 returned response in:883 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:7 returned response in:889 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:14 returned response in:599 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:10 returned response in:619 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:12 returned response in:627 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:16 returned response in:632 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:13 returned response in:636 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:15 returned response in:645 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:19 returned response in:648 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:17 returned response in:657 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:18 returned response in:664 miliseconds
2017-01-31 20:24:43 INFO  Client:44 - Thread no:11 returned response in:667 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:20 returned response in:635 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:21 returned response in:622 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:25 returned response in:609 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:24 returned response in:619 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:23 returned response in:626 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:22 returned response in:640 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:26 returned response in:605 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:27 returned response in:606 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:29 returned response in:622 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:28 returned response in:627 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:31 returned response in:623 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:30 returned response in:627 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:32 returned response in:607 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:33 returned response in:609 miliseconds
2017-01-31 20:24:44 INFO  Client:44 - Thread no:36 returned response in:599 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:35 returned response in:636 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:34 returned response in:636 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:37 returned response in:632 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:39 returned response in:636 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:38 returned response in:638 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:44 returned response in:608 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:41 returned response in:611 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:40 returned response in:621 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:42 returned response in:621 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:43 returned response in:619 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:47 returned response in:610 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:45 returned response in:624 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:46 returned response in:624 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:48 returned response in:624 miliseconds
2017-01-31 20:24:45 INFO  Client:44 - Thread no:49 returned response in:640 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:55 returned response in:677 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:56 returned response in:672 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:53 returned response in:720 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:57 returned response in:682 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:51 returned response in:729 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:54 returned response in:727 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:52 returned response in:732 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:50 returned response in:738 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:58 returned response in:701 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:59 returned response in:725 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:61 returned response in:606 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:62 returned response in:599 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:63 returned response in:598 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:60 returned response in:618 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:64 returned response in:602 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:66 returned response in:599 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:65 returned response in:637 miliseconds
2017-01-31 20:24:46 INFO  Client:44 - Thread no:67 returned response in:642 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:69 returned response in:602 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:68 returned response in:645 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:72 returned response in:626 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:70 returned response in:628 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:73 returned response in:627 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:71 returned response in:633 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:75 returned response in:637 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:74 returned response in:643 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:76 returned response in:680 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:77 returned response in:673 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:79 returned response in:661 miliseconds
2017-01-31 20:24:47 INFO  Client:44 - Thread no:78 returned response in:728 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:85 returned response in:641 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:84 returned response in:650 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:80 returned response in:671 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:82 returned response in:669 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:81 returned response in:673 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:83 returned response in:672 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:87 returned response in:616 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:86 returned response in:619 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:88 returned response in:638 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:89 returned response in:610 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:90 returned response in:698 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:93 returned response in:690 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:95 returned response in:684 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:92 returned response in:692 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:96 returned response in:647 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:94 returned response in:693 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:91 returned response in:706 miliseconds
2017-01-31 20:24:48 INFO  Client:44 - Thread no:97 returned response in:658 miliseconds
2017-01-31 20:24:49 INFO  Client:44 - Thread no:99 returned response in:656 miliseconds
2017-01-31 20:24:49 INFO  Client:44 - Thread no:98 returned response in:693 miliseconds
2017-01-31 20:24:49 INFO  ConcurrentProccessHandler:63 - Shutting down pool.
2017-01-31 20:24:49 INFO  ConcurrentProccessHandler:69 - Paralel execution finished.
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 867
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 874
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 871
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 874
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 883
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 881
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 867
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 889
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 876
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 875
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 619
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 667
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 627
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 636
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 599
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 645
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 632
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 657
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 664
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 648
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 635
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 622
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 640
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 626
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 619
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 609
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 605
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 606
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 627
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 622
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 627
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 623
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 607
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 609
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 636
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 636
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 599
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 632
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 638
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 636
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 621
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 611
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 621
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 619
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 608
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 624
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 624
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 610
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 624
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 640
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 738
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 729
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 732
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 720
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 727
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 677
2017-01-31 20:24:49 INFO  Controller:25 - Response Time in miliseconds: 672
